,tsne_0,tsne_1,markers,datasets,perts
0,1.7712995,29.38399,Reference,cdk8,~[N*]C1CC1
1,-13.556033,23.13595,Reference,cdk8,[C*]N~[C*]N1CCNCC1
2,-5.2670455,38.639366,Reference,cdk8,[c*]c1cnn(C)c1~[N*]C.[c*]:cnn(:[2*])C
3,44.756767,26.31959,Reference,cdk8,[C*]N~[C*]N1CC(O)C1
4,-3.907534,34.055496,Reference,cdk8,[C*]N~[C*]N1CC[C@H](O)C1
5,-61.29522,41.65316,Reference,cdk8,[c*]C(N)=O~[c*]NC(C)=O
6,13.342306,50.7842,Reference,cdk8,[c*]C(N)=O~[c*]NS(C)(=O)=O
7,-13.173502,24.907341,Reference,cdk8,[C*]N~[C*]N1CCCCC1
8,-44.057594,23.296825,Reference,cdk8,[C*]N~[C*]N1CC(OC)C1
9,-16.232931,26.384907,Reference,cdk8,[c*]C(N)=O~[c*]N1CCOCC1
10,14.907805,-23.579617,Reference,cdk8,~[N*]C.[C*]C(C)(C)O
11,46.579376,-15.707618,Reference,cdk8,[c*]c1cnn(C)c1~[N*]C.[c*]C
12,-47.683167,23.473497,Reference,cdk8,[c*]c1cnn(C)c1~[N*]C.[c*]OC.[c*]OC
13,16.679329,-54.89672,Reference,cdk8,[c*]C(N)=O~[c*]N1CCCC1=O
14,-6.6507096,43.710384,Reference,cdk8,[c*]c1cnn(C)c1~[N*]C.[c*]:n(C)nc:[2*]
15,11.495002,54.626842,Reference,cdk8,[c*]C(N)=O~[c*]S(=O)(=O)NC1CC1
16,-13.635807,-16.500256,Reference,cdk8,[c*]C(N)=O~[c*]c1cn(C)cn1
17,-13.152377,24.910183,Reference,cdk8,[C*]N~[C*]N1CCCC1
18,0.9000819,-25.33682,Reference,cdk8,[C*]N~[C*]N1CC(F)(F)C1
19,-16.232931,26.384907,Reference,cdk8,[C*]N~[C*]N1CCOCC1
20,-10.019547,-16.150835,Reference,cdk8,[c*]C(N)=O~[c*]c1nccn1C
21,1.4372344,-24.534988,Reference,cdk8,[C*]N~[C*]N1CCC(F)(F)C1
22,-62.794834,46.637535,Reference,cdk8,[c*]C(N)=O~[c*]NCCNC(C)=O
23,-3.907534,34.055496,Reference,cdk8,[C*]N~[C*]N1CC[C@@H](O)C1
24,-19.7325,-7.062217,Reference,cdk8,[c*]C(N)=O~[c*]c1cc(N)ccn1
25,39.63639,-10.718183,Reference,cdk8,~[N*]C
26,-13.55608,23.136185,Reference,cdk8,[C*]NC1CC1~[C*]N1CCNCC1
27,-5.2670183,38.639362,Reference,cdk8,[c*]c1cnn(C)c1.[N*]C1CC1~[N*]C.[c*]:cnn(:[2*])C
28,44.756767,26.31959,Reference,cdk8,[C*]NC1CC1~[C*]N1CC(O)C1
29,-3.907534,34.055496,Reference,cdk8,[C*]NC1CC1~[C*]N1CC[C@H](O)C1
30,-61.29509,41.653336,Reference,cdk8,[c*]C(=O)NC1CC1~[c*]NC(C)=O
31,13.342306,50.7842,Reference,cdk8,[c*]C(=O)NC1CC1~[c*]NS(C)(=O)=O
32,-13.173514,24.90735,Reference,cdk8,[C*]NC1CC1~[C*]N1CCCCC1
33,-44.05806,23.29683,Reference,cdk8,[C*]NC1CC1~[C*]N1CC(OC)C1
34,-16.232931,26.384907,Reference,cdk8,[c*]C(=O)NC1CC1~[c*]N1CCOCC1
35,14.907877,-23.580729,Reference,cdk8,[N*]C1CC1~[N*]C.[C*]C(C)(C)O
36,46.579723,-15.70777,Reference,cdk8,[c*]c1cnn(C)c1.[N*]C1CC1~[N*]C.[c*]C
