,tsne_0,tsne_1,sampledornot
0,1.7712995,29.38399,sampled
1,-13.556033,23.13595,sampled
2,-5.2670455,38.639366,Not sampled
3,44.756767,26.31959,Not sampled
4,-3.907534,34.055496,Not sampled
5,-61.29522,41.65316,Not sampled
6,13.342306,50.7842,Not sampled
7,-13.173502,24.907341,sampled
8,-44.057594,23.296825,Not sampled
9,-16.232931,26.384907,Not sampled
10,14.907805,-23.579617,Not sampled
11,46.579376,-15.707618,sampled
12,-47.683167,23.473497,sampled
13,16.679329,-54.89672,Not sampled
14,-6.6507096,43.710384,Not sampled
15,11.495002,54.626842,Not sampled
16,-13.635807,-16.500256,Not sampled
17,-13.152377,24.910183,sampled
18,0.9000819,-25.33682,Not sampled
19,-16.232931,26.384907,Not sampled
20,-10.019547,-16.150835,Not sampled
21,1.4372344,-24.534988,Not sampled
22,-62.794834,46.637535,Not sampled
23,-3.907534,34.055496,Not sampled
24,-19.7325,-7.062217,Not sampled
25,39.63639,-10.718183,sampled
26,-13.55608,23.136185,sampled
27,-5.2670183,38.639362,Not sampled
28,44.756767,26.31959,Not sampled
29,-3.907534,34.055496,Not sampled
30,-61.29509,41.653336,Not sampled
31,13.342306,50.7842,Not sampled
32,-13.173514,24.90735,sampled
33,-44.05806,23.29683,Not sampled
34,-16.232931,26.384907,Not sampled
35,14.907877,-23.580729,Not sampled
36,46.579723,-15.70777,sampled
37,-47.683384,23.473495,sampled
38,16.679304,-54.89671,Not sampled
39,-6.6485844,43.713314,Not sampled
40,11.495002,54.626842,Not sampled
41,-13.635846,-16.500277,Not sampled
42,-13.152413,24.910149,sampled
43,0.9000819,-25.33682,Not sampled
44,-16.232931,26.384907,Not sampled
45,-10.019567,-16.150833,Not sampled
46,1.4372356,-24.534933,Not sampled
47,-62.794834,46.637535,Not sampled
48,-3.907534,34.055496,Not sampled
49,-19.7325,-7.062219,Not sampled
50,40.68291,-12.779064,sampled
51,-13.764641,-2.5185306,Not sampled
52,-13.135609,-2.0265281,Not sampled
53,-61.295097,41.65335,Not sampled
54,13.342617,50.7841,Not sampled
55,-23.941998,-24.8518,Not sampled
56,-38.51556,15.451402,sampled
57,-16.232931,26.384907,Not sampled
58,13.044965,-24.626724,Not sampled
59,16.679325,-54.89688,Not sampled
60,-3.802954,38.589138,Not sampled
61,11.495002,54.626854,Not sampled
62,-13.635763,-16.500294,Not sampled
63,-23.909134,-24.834772,Not sampled
64,-25.136332,1.5520099,Not sampled
65,-37.61048,-6.1024594,Not sampled
66,-10.019563,-16.150835,Not sampled
67,-25.844107,1.0395434,Not sampled
68,-62.794834,46.637535,Not sampled
69,-14.143437,-2.8237364,Not sampled
70,-19.7325,-7.062219,Not sampled
71,21.368969,17.407415,sampled
72,21.368969,17.407415,sampled
73,-18.293365,-14.095626,Not sampled
74,-18.298437,-14.07366,Not sampled
75,21.207016,17.755556,sampled
76,-7.6448684,44.068127,Not sampled
77,46.907833,17.809645,sampled
78,-24.14271,1.5983553,Not sampled
79,-17.628096,-13.517588,Not sampled
80,-18.825401,-14.567426,Not sampled
81,-18.295967,-14.085461,Not sampled
82,-18.887453,-13.159954,Not sampled
83,-19.60519,-8.01037,Not sampled
84,-14.143308,-2.8237393,Not sampled
85,37.99143,-28.869707,sampled
86,-18.631495,-13.5274315,Not sampled
87,-17.797495,-14.555936,Not sampled
88,-5.105108,-34.691135,sampled
89,-44.94486,17.381735,sampled
90,-7.1108146,43.840054,Not sampled
91,-44.05748,23.296818,Not sampled
92,1.4372351,-24.534962,Not sampled
93,-3.907534,34.055496,Not sampled
94,-18.293367,-14.095583,Not sampled
95,-14.143437,-2.8237364,Not sampled
96,-61.29548,41.652905,Not sampled
97,13.342243,50.784134,Not sampled
98,-23.941998,-24.8518,Not sampled
99,46.92184,17.805607,sampled
100,-16.232931,26.384907,Not sampled
101,13.0475235,-24.618364,Not sampled
102,16.679329,-54.89672,Not sampled
103,-5.29203,38.63358,Not sampled
104,11.495002,54.626854,Not sampled
105,-13.635846,-16.500277,Not sampled
106,-23.909466,-24.83443,Not sampled
107,21.694227,-7.8293304,sampled
108,-37.610497,-6.1024566,Not sampled
109,-10.019547,-16.15082,Not sampled
110,-24.14271,1.5983553,Not sampled
111,-62.79465,46.63717,Not sampled
112,-14.143437,-2.8237364,Not sampled
113,-19.7325,-7.062217,Not sampled
114,21.369598,17.407213,sampled
115,-31.532455,17.308033,Not sampled
116,-31.982876,16.985533,Not sampled
117,-31.51176,16.990128,Not sampled
118,-61.295097,41.65335,Not sampled
119,13.342616,50.783882,Not sampled
120,-23.941948,-24.85137,Not sampled
121,-38.51556,15.451402,sampled
122,-16.232931,26.384907,Not sampled
123,2.8420877,-74.711845,sampled
124,13.047493,-24.618105,Not sampled
125,16.679426,-54.89733,Not sampled
126,-5.308737,38.63888,Not sampled
127,11.495002,54.626842,Not sampled
128,-13.635734,-16.500277,Not sampled
129,-1.9871653,5.5385003,sampled
130,-25.135868,1.5520045,Not sampled
131,-37.610607,-6.101954,Not sampled
132,-10.019567,-16.150831,Not sampled
133,21.653528,-7.8487206,sampled
134,-62.794834,46.637535,Not sampled
135,-1.8379284,5.4944205,sampled
136,-19.732454,-7.062213,Not sampled
137,-5.286698,38.65501,Not sampled
138,21.368372,17.407557,sampled
139,4.4311967,58.184284,Not sampled
140,-38.061287,39.391712,Not sampled
141,-39.09428,36.590515,Not sampled
142,-16.232931,26.384907,Not sampled
143,-62.513924,42.058628,Not sampled
144,-61.41294,41.870277,Not sampled
145,-61.358475,40.294655,Not sampled
146,16.679329,-54.89672,Not sampled
147,-8.005527,44.190968,Not sampled
148,11.495003,54.626682,Not sampled
149,-13.635805,-16.500284,Not sampled
150,-38.023563,39.358456,Not sampled
151,-35.767437,42.129597,Not sampled
152,-37.769356,40.844128,Not sampled
153,-10.019567,-16.150833,Not sampled
154,-35.25736,41.35623,Not sampled
155,-61.29527,41.65304,Not sampled
156,-36.713177,37.680374,Not sampled
157,-19.732454,-7.062213,Not sampled
158,-61.29527,41.65304,Not sampled
159,-38.061108,39.391716,Not sampled
160,-39.0941,36.5896,Not sampled
161,-16.232931,26.384907,Not sampled
162,-62.514027,42.058964,Not sampled
163,16.679426,-54.89733,Not sampled
164,11.494997,54.627003,Not sampled
165,-13.635846,-16.500277,Not sampled
166,-38.02349,39.358402,Not sampled
167,-35.767517,42.129597,Not sampled
168,-37.76909,40.84422,Not sampled
169,-10.019547,-16.15082,Not sampled
170,-35.25792,41.357014,Not sampled
171,-62.409786,47.06343,Not sampled
172,-36.71313,37.68111,Not sampled
173,-19.7325,-7.062219,Not sampled
174,-61.29527,41.65304,Not sampled
175,-38.515095,15.451405,sampled
176,-16.232931,26.38491,Not sampled
177,13.04834,-24.618242,Not sampled
178,16.679325,-54.89688,Not sampled
179,-3.802954,38.589138,Not sampled
180,11.495002,54.627087,Not sampled
181,-13.635734,-16.500277,Not sampled
182,-23.909918,-24.83445,Not sampled
183,-25.136332,1.5520099,Not sampled
184,-37.610466,-6.1022797,Not sampled
185,-10.019563,-16.150835,Not sampled
186,-25.844107,1.0395434,Not sampled
187,-62.800705,46.640522,Not sampled
188,-14.143308,-2.8237393,Not sampled
189,-19.732454,-7.062213,Not sampled
190,21.368383,17.407543,sampled
191,-16.232931,26.384907,Not sampled
192,13.047518,-24.618021,Not sampled
193,16.679325,-54.89688,Not sampled
194,-5.2867365,38.65515,Not sampled
195,11.495002,54.627087,Not sampled
196,-13.635734,-16.500277,Not sampled
197,-23.90956,-24.834227,Not sampled
198,21.902388,-7.4899673,sampled
199,-37.610466,-6.1027107,Not sampled
200,-10.019547,-16.15082,Not sampled
201,-24.14271,1.5983553,Not sampled
202,-62.801086,46.640373,Not sampled
203,-13.135699,-2.0265284,Not sampled
204,-19.7325,-7.062219,Not sampled
205,21.368345,17.407568,sampled
206,-62.513638,42.059036,Not sampled
207,-23.60743,-24.645468,Not sampled
208,11.495002,54.626842,Not sampled
209,-13.635734,-16.500277,Not sampled
210,-38.02349,39.358166,Not sampled
211,-35.767517,42.129597,Not sampled
212,-37.768505,40.844128,Not sampled
213,-10.019567,-16.150833,Not sampled
214,-35.25836,41.35743,Not sampled
215,-62.800705,46.640522,Not sampled
216,-36.719055,37.68757,Not sampled
217,-19.7325,-7.062219,Not sampled
218,-61.295097,41.65335,Not sampled
219,21.368374,17.407549,sampled
220,-5.308793,38.638874,Not sampled
221,-18.293392,-14.095669,Not sampled
222,-18.296164,-14.085866,Not sampled
223,-18.293379,-14.095651,Not sampled
224,-5.2867365,38.65515,Not sampled
225,-5.1408734,-34.68779,sampled
226,16.679325,-54.89688,Not sampled
227,-7.109084,43.836895,Not sampled
228,-13.635846,-16.500277,Not sampled
229,-13.152362,24.910141,sampled
230,0.9000847,-25.336601,Not sampled
231,-16.232931,26.384907,Not sampled
232,-10.019618,-16.150835,Not sampled
233,1.4372358,-24.53473,Not sampled
234,-3.907534,34.055496,Not sampled
235,-1.5049769,5.3656645,sampled
236,-43.396793,17.038702,sampled
237,-7.109084,43.836895,Not sampled
238,-4.3586807,39.852135,Not sampled
239,-18.293392,-14.095669,Not sampled
240,-7.109084,43.836895,Not sampled
241,-18.293392,-14.095669,Not sampled
242,11.495002,54.627087,Not sampled
243,-13.635846,-16.500277,Not sampled
244,-38.023537,39.358425,Not sampled
245,-35.766502,42.131092,Not sampled
